"task","repeat_id","outer_fold","inner_fold","t_end","eps","log10_eps","k_use","accuracy"
"HEME_vs_CONTROL",1,3,3,19,1e-06,-6,13,0.865139949109415
"HEME_vs_CONTROL",1,3,4,19,1e-06,-6,13,0.860050890585242
"HEME_vs_CONTROL",1,3,5,19,1e-06,-6,13,0.852040816326531
"HEME_vs_CONTROL",1,3,1,20,1e-06,-6,13,0.877862595419847
"HEME_vs_CONTROL",1,3,2,20,1e-06,-6,13,0.895674300254453
"HEME_vs_CONTROL",1,3,3,20,1e-06,-6,13,0.857506361323155
"HEME_vs_CONTROL",1,3,4,20,1e-06,-6,13,0.847328244274809
"HEME_vs_CONTROL",1,3,5,20,1e-06,-6,13,0.844387755102041
"HEME_vs_CONTROL",1,4,1,6,1e-06,-6,5,0.862944162436548
"HEME_vs_CONTROL",1,4,2,6,1e-06,-6,6,0.908396946564885
"HEME_vs_CONTROL",1,4,3,6,1e-06,-6,5,0.870229007633588
"HEME_vs_CONTROL",1,4,4,6,1e-06,-6,5,0.903307888040712
"HEME_vs_CONTROL",1,4,5,6,1e-06,-6,5,0.86734693877551
"HEME_vs_CONTROL",1,4,1,7,1e-06,-6,7,0.893401015228426
"HEME_vs_CONTROL",1,4,2,7,1e-06,-6,7,0.895674300254453
"HEME_vs_CONTROL",1,4,3,7,1e-06,-6,7,0.893129770992366
"HEME_vs_CONTROL",1,4,4,7,1e-06,-6,6,0.916030534351145
"HEME_vs_CONTROL",1,4,5,7,1e-06,-6,7,0.862244897959184
"HEME_vs_CONTROL",1,4,1,8,1e-06,-6,7,0.883248730964467
"HEME_vs_CONTROL",1,4,2,8,1e-06,-6,8,0.89058524173028
"HEME_vs_CONTROL",1,4,3,8,1e-06,-6,7,0.875318066157761
"HEME_vs_CONTROL",1,4,4,8,1e-06,-6,7,0.908396946564885
"HEME_vs_CONTROL",1,4,5,8,1e-06,-6,7,0.85969387755102
"HEME_vs_CONTROL",1,4,1,9,1e-06,-6,8,0.893401015228426
"HEME_vs_CONTROL",1,4,2,9,1e-06,-6,8,0.895674300254453
"HEME_vs_CONTROL",1,4,3,9,1e-06,-6,8,0.893129770992366
"HEME_vs_CONTROL",1,4,4,9,1e-06,-6,8,0.908396946564885
"HEME_vs_CONTROL",1,4,5,9,1e-06,-6,8,0.862244897959184
"HEME_vs_CONTROL",1,4,1,10,1e-06,-6,9,0.898477157360406
"HEME_vs_CONTROL",1,4,2,10,1e-06,-6,9,0.895674300254453
"HEME_vs_CONTROL",1,4,3,10,1e-06,-6,9,0.880407124681934
"HEME_vs_CONTROL",1,4,4,10,1e-06,-6,8,0.898218829516539
"HEME_vs_CONTROL",1,4,5,10,1e-06,-6,9,0.852040816326531
"HEME_vs_CONTROL",1,4,1,11,1e-06,-6,9,0.898477157360406
"HEME_vs_CONTROL",1,4,2,11,1e-06,-6,10,0.895674300254453
"HEME_vs_CONTROL",1,4,3,11,1e-06,-6,9,0.905852417302799
"HEME_vs_CONTROL",1,4,4,11,1e-06,-6,9,0.916030534351145
"HEME_vs_CONTROL",1,4,5,11,1e-06,-6,9,0.86734693877551
"HEME_vs_CONTROL",1,4,1,12,1e-06,-6,10,0.890862944162436
"HEME_vs_CONTROL",1,4,2,12,1e-06,-6,10,0.903307888040712
"HEME_vs_CONTROL",1,4,3,12,1e-06,-6,10,0.905852417302799
"HEME_vs_CONTROL",1,4,4,12,1e-06,-6,10,0.918575063613232
"HEME_vs_CONTROL",1,4,5,12,1e-06,-6,10,0.86734693877551
"HEME_vs_CONTROL",1,4,1,13,1e-06,-6,10,0.880710659898477
"HEME_vs_CONTROL",1,4,2,13,1e-06,-6,11,0.89058524173028
"HEME_vs_CONTROL",1,4,3,13,1e-06,-6,10,0.900763358778626
"HEME_vs_CONTROL",1,4,4,13,1e-06,-6,10,0.913486005089059
"HEME_vs_CONTROL",1,4,5,13,1e-06,-6,10,0.877551020408163
"HEME_vs_CONTROL",1,4,1,14,1e-06,-6,11,0.880710659898477
"HEME_vs_CONTROL",1,4,2,14,1e-06,-6,11,0.895674300254453
"HEME_vs_CONTROL",1,4,3,14,1e-06,-6,11,0.900763358778626
"HEME_vs_CONTROL",1,4,4,14,1e-06,-6,10,0.905852417302799
"HEME_vs_CONTROL",1,4,5,14,1e-06,-6,11,0.86734693877551
"HEME_vs_CONTROL",1,4,1,15,1e-06,-6,11,0.873096446700508
"HEME_vs_CONTROL",1,4,2,15,1e-06,-6,12,0.898218829516539
"HEME_vs_CONTROL",1,4,3,15,1e-06,-6,11,0.895674300254453
"HEME_vs_CONTROL",1,4,4,15,1e-06,-6,11,0.900763358778626
"HEME_vs_CONTROL",1,4,5,15,1e-06,-6,11,0.852040816326531
"HEME_vs_CONTROL",1,4,1,16,1e-06,-6,12,0.865482233502538
"HEME_vs_CONTROL",1,4,2,16,1e-06,-6,12,0.893129770992366
"HEME_vs_CONTROL",1,4,3,16,1e-06,-6,12,0.888040712468193
"HEME_vs_CONTROL",1,4,4,16,1e-06,-6,11,0.898218829516539
"HEME_vs_CONTROL",1,4,5,16,1e-06,-6,12,0.846938775510204
"HEME_vs_CONTROL",1,4,1,17,1e-06,-6,12,0.868020304568528
"HEME_vs_CONTROL",1,4,2,17,1e-06,-6,12,0.888040712468193
"HEME_vs_CONTROL",1,4,3,17,1e-06,-6,12,0.888040712468193
"HEME_vs_CONTROL",1,4,4,17,1e-06,-6,12,0.913486005089059
"HEME_vs_CONTROL",1,4,5,17,1e-06,-6,12,0.841836734693878
"HEME_vs_CONTROL",1,4,1,18,1e-06,-6,12,0.860406091370558
"HEME_vs_CONTROL",1,4,2,18,1e-06,-6,13,0.895674300254453
"HEME_vs_CONTROL",1,4,3,18,1e-06,-6,12,0.880407124681934
"HEME_vs_CONTROL",1,4,4,18,1e-06,-6,12,0.908396946564885
"HEME_vs_CONTROL",1,4,5,18,1e-06,-6,12,0.841836734693878
"HEME_vs_CONTROL",1,4,1,19,1e-06,-6,13,0.868020304568528
"HEME_vs_CONTROL",1,4,2,19,1e-06,-6,13,0.888040712468193
"HEME_vs_CONTROL",1,4,3,19,1e-06,-6,13,0.877862595419847
"HEME_vs_CONTROL",1,4,4,19,1e-06,-6,12,0.903307888040712
"HEME_vs_CONTROL",1,4,5,19,1e-06,-6,13,0.862244897959184
"HEME_vs_CONTROL",1,4,1,20,1e-06,-6,13,0.873096446700508
"HEME_vs_CONTROL",1,4,2,20,1e-06,-6,13,0.88295165394402
"HEME_vs_CONTROL",1,4,3,20,1e-06,-6,13,0.867684478371501
"HEME_vs_CONTROL",1,4,4,20,1e-06,-6,13,0.888040712468193
"HEME_vs_CONTROL",1,4,5,20,1e-06,-6,13,0.85969387755102
"HEME_vs_CONTROL",1,5,1,6,1e-06,-6,5,0.883248730964467
"HEME_vs_CONTROL",1,5,2,6,1e-06,-6,6,0.895674300254453
"HEME_vs_CONTROL",1,5,3,6,1e-06,-6,5,0.888040712468193
"HEME_vs_CONTROL",1,5,4,6,1e-06,-6,5,0.865139949109415
"HEME_vs_CONTROL",1,5,5,6,1e-06,-6,5,0.89030612244898
"HEME_vs_CONTROL",1,5,1,7,1e-06,-6,6,0.895939086294416
"HEME_vs_CONTROL",1,5,2,7,1e-06,-6,7,0.888040712468193
"HEME_vs_CONTROL",1,5,3,7,1e-06,-6,6,0.89058524173028
"HEME_vs_CONTROL",1,5,4,7,1e-06,-6,6,0.888040712468193
"HEME_vs_CONTROL",1,5,5,7,1e-06,-6,6,0.905612244897959
"HEME_vs_CONTROL",1,5,1,8,1e-06,-6,7,0.875634517766497
"HEME_vs_CONTROL",1,5,2,8,1e-06,-6,8,0.888040712468193
"HEME_vs_CONTROL",1,5,3,8,1e-06,-6,7,0.88295165394402
"HEME_vs_CONTROL",1,5,4,8,1e-06,-6,7,0.870229007633588
"HEME_vs_CONTROL",1,5,5,8,1e-06,-6,7,0.895408163265306
"HEME_vs_CONTROL",1,5,1,9,1e-06,-6,8,0.890862944162436
"HEME_vs_CONTROL",1,5,2,9,1e-06,-6,9,0.888040712468193
"HEME_vs_CONTROL",1,5,3,9,1e-06,-6,7,0.885496183206107
"HEME_vs_CONTROL",1,5,4,9,1e-06,-6,8,0.880407124681934
"HEME_vs_CONTROL",1,5,5,9,1e-06,-6,8,0.887755102040816
"HEME_vs_CONTROL",1,5,1,10,1e-06,-6,8,0.883248730964467
"HEME_vs_CONTROL",1,5,2,10,1e-06,-6,9,0.885496183206107
"HEME_vs_CONTROL",1,5,3,10,1e-06,-6,8,0.893129770992366
"HEME_vs_CONTROL",1,5,4,10,1e-06,-6,8,0.875318066157761
"HEME_vs_CONTROL",1,5,5,10,1e-06,-6,8,0.877551020408163
"HEME_vs_CONTROL",1,5,1,11,1e-06,-6,9,0.878172588832487
"HEME_vs_CONTROL",1,5,2,11,1e-06,-6,10,0.885496183206107
"HEME_vs_CONTROL",1,5,3,11,1e-06,-6,9,0.900763358778626
"HEME_vs_CONTROL",1,5,4,11,1e-06,-6,9,0.89058524173028
"HEME_vs_CONTROL",1,5,5,11,1e-06,-6,9,0.89030612244898
"HEME_vs_CONTROL",1,5,1,12,1e-06,-6,10,0.890862944162436
"HEME_vs_CONTROL",1,5,2,12,1e-06,-6,11,0.88295165394402
"HEME_vs_CONTROL",1,5,3,12,1e-06,-6,9,0.913486005089059
"HEME_vs_CONTROL",1,5,4,12,1e-06,-6,9,0.877862595419847
"HEME_vs_CONTROL",1,5,5,12,1e-06,-6,9,0.905612244897959
"HEME_vs_CONTROL",1,5,1,13,1e-06,-6,10,0.890862944162436
"HEME_vs_CONTROL",1,5,2,13,1e-06,-6,11,0.877862595419847
"HEME_vs_CONTROL",1,5,3,13,1e-06,-6,10,0.916030534351145
"HEME_vs_CONTROL",1,5,4,13,1e-06,-6,10,0.872773536895674
"HEME_vs_CONTROL",1,5,5,13,1e-06,-6,10,0.905612244897959
"HEME_vs_CONTROL",1,5,1,14,1e-06,-6,11,0.883248730964467
"HEME_vs_CONTROL",1,5,2,14,1e-06,-6,12,0.877862595419847
