"repeat_id","outer_fold","inner_fold","t_end","lambda","log10_lambda","k_use","accuracy"
4,3,1,15,0.000166810053720006,-3.77777777777778,8,0.731543624161074
4,3,1,15,1e-04,-4,8,0.731543624161074
4,3,2,15,0.01,-2,8,0.727891156462585
4,3,2,15,0.00599484250318941,-2.22222222222222,8,0.73469387755102
4,3,2,15,0.00359381366380463,-2.44444444444444,8,0.748299319727891
4,3,2,15,0.00215443469003188,-2.66666666666667,8,0.768707482993197
4,3,2,15,0.00129154966501488,-2.88888888888889,8,0.775510204081633
4,3,2,15,0.000774263682681127,-3.11111111111111,8,0.775510204081633
4,3,2,15,0.000464158883361278,-3.33333333333333,8,0.775510204081633
4,3,2,15,0.000278255940220713,-3.55555555555556,8,0.775510204081633
4,3,2,15,0.000166810053720006,-3.77777777777778,8,0.775510204081633
4,3,2,15,1e-04,-4,8,0.768707482993197
4,3,3,15,0.01,-2,8,0.736111111111111
4,3,3,15,0.00599484250318941,-2.22222222222222,8,0.729166666666667
4,3,3,15,0.00359381366380463,-2.44444444444444,8,0.736111111111111
4,3,3,15,0.00215443469003188,-2.66666666666667,8,0.729166666666667
4,3,3,15,0.00129154966501488,-2.88888888888889,8,0.729166666666667
4,3,3,15,0.000774263682681127,-3.11111111111111,8,0.729166666666667
4,3,3,15,0.000464158883361278,-3.33333333333333,8,0.736111111111111
4,3,3,15,0.000278255940220713,-3.55555555555556,8,0.743055555555556
4,3,3,15,0.000166810053720006,-3.77777777777778,8,0.736111111111111
4,3,3,15,1e-04,-4,8,0.736111111111111
4,3,4,15,0.01,-2,8,0.71830985915493
4,3,4,15,0.00599484250318941,-2.22222222222222,8,0.73943661971831
4,3,4,15,0.00359381366380463,-2.44444444444444,8,0.767605633802817
4,3,4,15,0.00215443469003188,-2.66666666666667,8,0.774647887323944
4,3,4,15,0.00129154966501488,-2.88888888888889,8,0.78169014084507
4,3,4,15,0.000774263682681127,-3.11111111111111,8,0.78169014084507
4,3,4,15,0.000464158883361278,-3.33333333333333,8,0.774647887323944
4,3,4,15,0.000278255940220713,-3.55555555555556,8,0.76056338028169
4,3,4,15,0.000166810053720006,-3.77777777777778,8,0.767605633802817
4,3,4,15,1e-04,-4,8,0.767605633802817
4,3,5,15,0.01,-2,8,0.711267605633803
4,3,5,15,0.00599484250318941,-2.22222222222222,8,0.76056338028169
4,3,5,15,0.00359381366380463,-2.44444444444444,8,0.78169014084507
4,3,5,15,0.00215443469003188,-2.66666666666667,8,0.809859154929577
4,3,5,15,0.00129154966501488,-2.88888888888889,8,0.816901408450704
4,3,5,15,0.000774263682681127,-3.11111111111111,8,0.830985915492958
4,3,5,15,0.000464158883361278,-3.33333333333333,8,0.838028169014085
4,3,5,15,0.000278255940220713,-3.55555555555556,8,0.830985915492958
4,3,5,15,0.000166810053720006,-3.77777777777778,8,0.823943661971831
4,3,5,15,1e-04,-4,8,0.823943661971831
4,3,1,16,0.01,-2,9,0.671140939597315
4,3,1,16,0.00599484250318941,-2.22222222222222,9,0.691275167785235
